"You tag was successfully saved","Cuponul a fost salvat cu succes"
"Your tag(s) have been submitted","Cuponul(e) a fost trimis cu succes"
"List","Lista"
"You tag was successfully deleted","Cuponul a fost sters cu succes"
"Unable to save your tag. Please, try again later.","Nu am putut salva cuponul. Va rugam sa incercati din nou mai tirziu."
"Price","Pret"
"All Tags","Toate cupoanele"
"Tag","Cupon"
"Unable to save tag(s)","Nu pot salva cuponul(e)"
"Thank you. Your tag has been accepted for moderation.","Va multumim. Cuponul a fost acceptat pentru moderare."
"Unable to remove tag. Please, try again later.","Nu am putut sterge cuponul. Va rugam sa incercati din nou mai tirziu."
"Grid","Grila"
"Products tagged with '%s'","Produse marcate cu '%s'"
"No matches found.","Nu s-a gasit egal."
"Data integrity: No header row found for attribute","Integritatea datei: Nu s-a gasit linia de capatii pentru atribut"
"Name","Numele"
"View All Tags","Vedeti toate cupoanele"
"Other people marked this product with these tags:","Alte persoane au marcat acest produs cu aceste cupoane:"
"Add Your Tags:","Adaugati cupoanele:"
"My Recent Tags","Cupoanele mele recente"
"Tags:","Cupoane:"
"Are you sure you want to delete this tag?","Sinteti sigur ca vreti sa stergeti acest cupon?"
"Tag Name: %s","Numele cuponului: <strong>%s</strong>"
"Unable to find any product tagged with '%s'","Nu am putut gasi un produs marcat cu '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produse marcate cu '%s' (<a href='%s'>RSS</a>)"
"Save Tag","Salvati cuponul"
"Tags Aren't Available","Cupoanele nu sint valabile"
"Use spaces to separate tags. Use single quotes (') for phrases.","Folositi spatii pentrua a separa cupoanele. Folositi cote simple (') pentru fraze."
"Popular Tags","Cupoane populare"
"Add Tags","Adaugati cupoane"
"Add to Cart","Adaugati la carut"
"You have not tagged any products yet.","Nu ati marcat inca nici un produs."
"Product Tags","Cupoanele produsului"
"Add to Wishlist","Adaugati la lista de dorinte"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Cautati rezultatele pentru '%s' (<a href='%s'>RSS</a>)"
"My Tags","Cupoanele mele"
"Click on a tag to view your corresponding products.","Apasati pe un cupon pentru a vedea produsele corespunzatoare."
"Delete Tag","Stergeti cuponul"
"Edit Tag","Editati cuponul"
