"1 Day Freight","1 zi marfa"
"2 Day Freight","Marfa de 2 zile"
2Day,"2 zile"
"2nd Day Air","Aer 2 zile"
"2nd Day Air AM","A 2-a zi aer dimineata"
"2nd Day Air AM Letter","Scrisoare de a 2-a zi aer dimineata"
"2nd Day Air Letter","Scrisoare prin 2 zile aer"
"3 Day Freight","Marfa de 3 zile"
"3 Day Select","Select 3 zile"
"All Services","Toate serviciile"
"Bound Printed Matter","Material tiparit de granita"
"Business Service Center","Centrul de servicii pentru afaceri"
"Canada Standard","Standard Canada"
Commercial,Comercial
"Customer Counter","Biroul clientului"
"Customer Packaging","Packetul clientului"
"Drop Box","Lasati cutia"
"Europe First Priority","Prima prioritate in Europa"
Express,Express
"Express Mail","Posta expresa"
"Express Saver","Expres economic"
"FedEx 10kg Box","Cutie de 10kg FedEx"
"FedEx 25kg Box","Cutie FedEx de 25kg"
"FedEx Box","Cutie FeDex"
"FedEx Envelope","Plic FedEx"
"FedEx Pak","Pachet FedEx"
"FedEx Tube","Tub FedEx"
"First Overnight","Prima peste noapte"
First-Class,"Clasa intiia"
Flat,Plat
"Flat Rate Box","Cutie cu rata plata"
"Flat Rate Envelope","Plic cu rata plata"
Ground,Terestrial
"Ground Commercial","Comercial terestrial "
"Ground Residential","Terestrial rezidential "
"Home Delivery","Livrare acasa"
"International Economy","Economie internationala"
"International First","Prima international"
"International Priority","Prioritate internationala"
"Intl Economy Freight","Marfa economca internationala"
"Intl Priority Freight","Marfa cu prioritate internationala"
"Invalid DHL XML code for type %s: %s","Cod tip DHL XML invalid pentru tipul %s: %s"
"Invalid DHL XML code type: %s","Cod tip DHL XML invalid: %s"
"Invalid FedEx XML code for type %s: %s","Cod tip FedEx XML invalid pentru tipul %s: %s"
"Invalid FedEx XML code type: %s","Cod tip FedEx XML invalid: %s"
"Invalid UPS CGI code for type %s: %s","Cod tip UPS CGI invalid pentru tipul %s: %s"
"Invalid UPS CGI code type: %s","Cod tip UPS CGI invalid pentru tipul: %s"
"Invalid USPS XML code for type %s: %s","Cod tip USPS XML invalid pentru tipul %s: %s"
"Invalid USPS XML code type: %s","Cod tip USPS XML invalid: %s"
Large,Mare
Letter,Scrisoare
"Letter Center","Centrul de scrisori"
Library,Librarie
"Media Mail","Posta media"
"Next Afternoon","Urmatoarea dupa-amiaza"
"Next Day Air","Aer ziua urmatoare"
"Next Day Air Early AM","Aer ziua urmatoare dimineata devreme"
"Next Day Air Early AM Letter","Scrisoare pentru ziua urmatoare dimineata devreme"
"Next Day Air Intra (Puerto Rico)","Aer in ziua urmatoare Intra (Puerto Rico)"
"Next Day Air Letter","Scrisoare prin aer ziua urmatoare"
"Next Day Air Saver","Ziua urmatoare aer economie"
"Next Day Air Saver Letter","Scrisoare economica de aer pentru ziua urmatoare"
No,Nu
Non-rectangular,Ne-rectangular
None,Niciuna
"On Call Air","Aer la chemare"
"One Time Pickup","Ridicata o data"
Oversize,Supradimensionare
Package,Pachet
Parcel,Pachet
"Parcel Post","Pachet postal"
"Priority Mail","Posta prioritate"
"Priority Overnight","Prioritate peste noapte"
Rectangular,Rectangulara
Regular,Obisnuit
"Regular Daily Pickup","Ridicata normal zilnic"
"Regular Pickup","Ridicare obisnuita"
"Request Courier","Cereti curierul"
Residential,Rezidential
"Second Day Service","Serviciul de ziua a doua"
"Standard Overnight","Standard peste noapte"
Station,Statie
"UPS Express Box","Cutie expresa UPS"
"UPS Letter Envelope","Plic scrisoare UPS"
"UPS Tube","Tub UPS"
"UPS Worldwide 10 kilo","UPS global 10 kg"
"UPS Worldwide 25 kilo","UPS global 25 kg"
Variable,Variabila
"Worldwide Expedited","Rapid global"
"Worldwide Express","Expres global"
"Worldwide Express Letter","Scrisoare globala express"
"Worldwide Express Plus","Express plus global"
"Worldwide Express Plus Letter","Scrisoare prin express plus global"
"Worldwide Express Saver","Express global economic"
Yes,Da
"Your Packaging","Packetul tau"
