"# of Uses","# of Uses"
"Access Denied.","Access Denied."
"Account Information","Account Information"
"Account status","Account status"
Action,Action
Actions,Actions
Active,Active
Add,Add
"Add New","Add New"
"Add New Address","Add New Address"
"Add New Answer","Add New Answer"
"Add New Attribute","Add New Attribute"
"Add New Customer Group","Add New Customer Group"
"Add New Review","Add New Review"
"Add New Role","Add New Role"
"Add new Role","Add new Role"
"Add New Rule","Add New Rule"
"Add New Tag","Add New Tag"
"Add New Tax Rate","Add New Tax Rate"
"Add New Template","Add New Template"
"Add New User","Add New User"
"Add Option","Add Option"
"Add Product","Add Product"
"Added From","Added From"
"All countries","All countries"
"All Stores","All Stores"
"All stores","All stores"
"All Tags","All Tags"
"Answer Title","Answer Title"
"Answer Title:","Answer Title:"
Any,Any
Apply,Apply
"Apply To","Apply To"
Approved,Approved
"Are you sure that you want to delete this template?","Are you sure that you want to delete this template?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Assigned Options","Assigned Options"
"Associated Products","Associated Products"
"Attrib. Set Name","Attrib. Set Name"
"Attribute Model","Attribute Model"
"Attribute Properties","Attribute Properties"
"Attribute Set","Attribute Set"
"Attribute set successfully saved.","Attribute set successfully saved."
Back,Back
"Backend Model","Backend Model"
"Best Customers","Best Customers"
"Bill to First name","Bill to First name"
"Bill to Last name","Bill to Last name"
"Billing Address","Billing Address"
"Block Information","Block Information"
"Block Title","Block Title"
"Bought From","Bought From"
Cancel,Cancel
"Cancel Order","Cancel Order"
"Card Verification Number","Card Verification Number"
Catalog,Catalog
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
Categories,Categories
City,City
"Class Name","Class Name"
CMS,CMS
Comment,Comment
Company,Company
"Comparable on Front-end","Comparable on Front-end"
Conditions,Conditions
"Conditions and Actions","Conditions and Actions"
Config,Config
Configuration,Configuration
Content,Content
Continue,Continue
"Convert to Plain Text","Convert to Plain Text"
Country,Country
County,County
"Coupons Reports","Coupons Reports"
"Create Backup","Create Backup"
"Create Credit Memo","Create Credit Memo"
"Create New Invoice","Create New Invoice"
"Create New Order","Create New Order"
"Create Order","Create Order"
"Credit Card Number","Credit Card Number"
"Credit Card Type","Credit Card Type"
"Credit Card Type: %s","Credit Card Type: %s"
"Credit Memo Information","Credit Memo Information"
"Credit Memo was not saved","Credit Memo was not saved"
CSV,CSV
Currency,Currency
Customer,Customer
"Customer Balance","Customer Balance"
"Customer Groups","Customer Groups"
"Customer Notes","Customer Notes"
"Customer Since","Customer Since"
"Customer Tags","Customer Tags"
"Customer Tax Class","Customer Tax Class"
"Customer Tax Classes","Customer Tax Classes"
Customers,Customers
"Customers Report","Customers Report"
Dashboard,Dashboard
"Data Type for Saving in Database","Data Type for Saving in Database"
"Date Added","Date Added"
"Date and Time","Date and Time"
"Date Created","Date Created"
"Date Expire","Date Expire"
"Date Start","Date Start"
"Date Updated","Date Updated"
"Days in Wishlist","Days in Wishlist"
DB,DB
"Default Billing Address","Default Billing Address"
"Default config","Default config"
"Default price","Default price"
"Default Qty","Default Qty"
"Default Shipping Address","Default Shipping Address"
Delete,Delete
"Delete Rule","Delete Rule"
"Delete Tag","Delete Tag"
"Delete Template","Delete Template"
Description,Description
Disabled,Disabled
Discount,Discount
Edit,Edit
"Edit Block","Edit Block"
"Edit Invoice","Edit Invoice"
"Edit Newsletter Template","Edit Newsletter Template"
"Edit Order","Edit Order"
"Edit Page","Edit Page"
"Edit Poll","Edit Poll"
"Edit Poll Answer","Edit Poll Answer"
"Edit Product Attribute","Edit Product Attribute"
"Edit Queue","Edit Queue"
"Edit Role","Edit Role"
"Edit Rule","Edit Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Edit Search","Edit Search"
"Edit Store","Edit Store"
"Edit Tag","Edit Tag"
"Edit Tag '%s'","Edit Tag '%s'"
"Edit Tax Rate","Edit Tax Rate"
"Edit Tax Rule","Edit Tax Rule"
"Edit Template","Edit Template"
"Edit User","Edit User"
"Edit User '%s'","Edit User '%s'"
"Edit Website","Edit Website"
Email,Email
"Email Address","Email Address"
Empty,Empty
Enabled,Enabled
"Expiration Date","Expiration Date"
"Export Tax Rates","Export Tax Rates"
Fax,Fax
"Filterable (no results)","Filterable (no results)"
"Filterable (with results)","Filterable (with results)"
"First Name","First Name"
for,for
"Free ground shipping","Free ground shipping"
From,From
"From Date","From Date"
"Frontend Model","Frontend Model"
"Frontend Properties","Frontend Properties"
"General Information","General Information"
"Gift Certificate","Gift Certificate"
"Globally Editable","Globally Editable"
"Grand Total","Grand Total"
"Group Name","Group Name"
Guest,Guest
"Haven't been charged yet","Haven't been charged yet"
Home,Home
ID,ID
Identifier,Identifier
"Import Service","Import Service"
"Import Tax Rates","Import Tax Rates"
Inactive,Inactive
"Input Validation for Store Owner","Input Validation for Store Owner"
