"# of Use","Номер использования"
"# of Uses","Количество использований"
"%s Tax Classes","%s налог (а,ов)"
"%s Tax Classes Title","Название для налога %s"
"&copy; Copyright 2007 Varien. Magento is a trademark of Irubin Consulting Inc","&copy; Copyright 2007 <a href=""http://www.varien.com"" target=""varien-external"">Varien</a>. Magento - торговая марка компании Irubin Consulting Inc. Перевод на русский <a href=""http://kypi.ru"" target=""varien-external"">Александр Меновщиков</a>"
"(Copy data from: %s)","(Копировать данные из: %s)"
"(eg: domain.com/identifier)","(например: домен.ru/идентификатор)"
"(Will make search for the query above return results for this search.)","(Будет произведён поиск по указанному выше запросу и показан результат данного поиска.)"
"1 star","1 звезда"
"2 stars","2 звезды"
"3 stars","3 звезды"
"4 stars","4 звезды"
"5 stars","5 звёзд"
"A name is required","Имя обязательно"
"Account Created in: %s","<strong>Дата создания учётной записи:</strong> %s"
"Account Created on: %s","<strong>Учётная запись создана:</strong> %s"
"Account Information","Информация об учётной записи"
"Account status","Статус учётной записи"
"Account successfully saved","Учётная запись успешно сохранена"
Action,Действие
Actions,Действия
Active,Активен
Add,Добавить
"Add Answer","Добавить ответ"
"Add Attribute","Добавить атрибут"
"Add Group","Добавить группу"
"Add New","Добавить новую"
"Add New Address","Добавить новый адрес"
"Add New Answer","Добавить новый ответ"
"Add New Attribute","Добавить новый атрибут"
"Add New Attribute Set","Добавить новый набор атрибутов"
"Add New Block","Добавить новый блок"
"Add New Category","Добавить новую категорию"
"Add New Class","Добавить новый класс"
"Add New Customer","Добавить нового покупателя"
"Add New Customer Group","Добавить новую группу покупателей"
"Add New Group","Добавить новую группу"
"Add New Image","Добавить новую картинку"
"Add New Page","Добавить новую страницу"
"Add New Poll","Добавить новый опрос"
"Add New Rating","Добавить новый рейтинг"
"Add New Review","Добавить отзыв"
"Add new Role","Добавить новую группу"
"Add New Role","Добавить новую группу"
"Add New Rule","Добавить новое правило"
"Add New Search","Добавить новый поиск"
"Add New Set","Добавить новый набор"
"Add New Tag","Добавить новый тэг"
"Add New Tax Rate","Добавить новую ставку налога"
"Add New Tax Rule","Добавить новое правило налога"
"Add New Template","Добавить новый шаблон"
"Add New User","Добавить нового пользователя"
"Add Option","Добавить опцию"
"Add Product","Добавить товар"
"Add Selected Product to Order","Добавить выбранные товары к заказу"
"Add Tier","Добавить уровень"
"Add to Order","Добавить к заказу"
"Add to Queue","Добавить в очередь"
"Add User to Role","Добавить пользователя к группе"
Added,Добавлен
"Added From",Добавлено
Addresses,Адреса
"Advanced Conditions","Расширенные условия"
All,Все
"All countries","Все страны"
"All Products","Все товары"
"All rates were imported","Все курсы импортированы"
"All Reviews","Все отзывы"
"All stores","Все магазины"
"All Stores","Все магазины"
"All tags","Все тэги"
"All Tags","Все тэги"
"All types","Все типы"
"and above.","и выше."
"Answer Title","Заголовок ответа"
"Answer Title:","Заголовок ответа:"
"Answer was successfully saved","Ответ успешно сохранён"
Any,Любой
Apply,Применить
"Apply Coupon Code","Использовать код купона"
"Apply Rules","Применить правила"
"Apply To","Применить к"
"Apply To Configurable/Grouped Product","Применить к настраиваемому/сгруппированному товару"
Approved,Одобрен
"Are you sure that you want to delete this tag?","Вы действительно хотите удалить данный тэг?"
"Are you sure that you want to delete this template?","Вы действительно хотите удалить данный шаблон?"
"Are you sure that you want to remove this item?","Вы действительно хотите удалить данную единицу?"
"Are you sure that you want to strip all tags?","Вы действительно хотите удалить все тэги?"
"Are you sure that you want to strip tags?","Вы действительно хотите удалить тэги?"
"Are you sure the you want to remove this item?","Вы действительно хотите удалить данную единицу?"
"Are you sure you want to cancel adding of this address?","Вы действительно хотите отменить добавление этого адреса?"
"Are you sure you want to cancel this order?","Вы действительно хотите отменить данный заказ?"
"Are you sure you want to delete it?","Вы действительно хотите удалить?"
"Are you sure you want to delete this address?","Вы действительно хотите удалить данный адрес?"
"Are you sure you want to delete this attribute set?","Вы действительно хотите удалить данные набор атрибутов?"
"Are you sure you want to delete this category?","Вы действительно хотите удалить данную категорию?"
"Are you sure you want to delete this user from this role?","Вы действительно хотите удалить данного пользователя из данной группы?"
"Are you sure you want to do this?","Вы действительно хотите это сделать?"
"Are you sure you want to take this action?","Вы действительно хотите выполнить данное действие?"
"Are you sure?","Вы уверены?"
"Are you sure? This order will be cancelled and a new one will be created instead","Вы уверены? Данный заказ будет отменён и создан новый"
"Assigned Answers","Назначенный ответы"
"Assigned Options","Назначенные опции"
"Assigned Role","Назначенная группа"
"Associated Products","Сопутствующие товары"
"Attrib. Set Name","Название набора атрибутов"
"Attribute Code","Код атрибута"
"Attribute Identifier","Идентификатор атрибута"
"Attribute Identifier<br/>(For internal use. Must be unique with no spaces)","Идентификатор атрибута<br/>(Для внутреннего использования. Должен быть уникальным, без пробелов)"
"Attribute Information","Информация об атрибутах"
"Attribute Label","Метка атрибута"
"Attribute Model","Код атрибута"
"Attribute Name:","Название атрибута:"
"Attribute Properties","Опции атрибута"
"Attribute Set","Набор атрибутов"
"Attribute set successfully saved.","Набор атрибутов успешно сохранён."
"Attribute set was successfully removed.","Набор атрибутов успешно удалён."
"Attribute set with the same name already exists.","Набор атрибутов с таким названием уже существует."
"Attribute with the same code already exists","Атрибут с таким кодом уже существует"
Attributes,Атрибуты
"Average rating","Средний рейтинг"
"Average Sale","Средняя стоимость заказа"
Back,Вернуться
"Backend Model",Код
"Backend Table",Таблица
"Backend Table Title","Заголовок таблицы"
Backup,"Резервное копирование"
Backups,"Резерное копирование"
"Backups Control","Управление резервными копиями"
"Based On","Основан на"
"Best Customers","Лучшие покупатели"
"Big Image","Большая картинка"
"Bill to First name","Покупатель (Имя)"
"Bill to Last name","Покупатель (Фамилия)"
"Billing Address","Адрес плательщика"
"Block Information","Информация о блоке"
"Block Title","Заголовок блока"
"Block was succesfully deleted","Блок успешно удалён"
"Block was successfully saved","Блок успешно сохранён"
"Bought From",Куплено
"Bought from wishlists","Куплено из отмеченных товаров"
Bundle,Связка
"Can be used only with catalog input type Dropdown","Может быть использовано только в виде Dropdown меню"
Cancel,Отменить
"Cancel Order","Отменить заказ"
Cancelled,Отменённые
"Card Verification Number","Номер верификации кредитной карточки"
Carts,Корзины
Catalog,Каталог
"Catalog Input Type for Store Owner","Тип каталога для владельца магазина"
"Catalog Price Rule","Правило цены в каталоге"
"Catalog Price Rules","Политика цен в каталоге"
"Catalog Searches","Поиск в каталоге"
Categories,Категории
"Category Data","Данные категории"
"Category delete error","Ошибка удаления категории"
"Category deleted","Категория удалена"
"Category move error","Ошибка при переносе категории"
"Category Products","Товары категории"
"Category saved","Категория сохранена"
"Change Order Status","Изменить статус заказа"
"Checkout Price Rule","Проверить правило цены"
"Choose Store","Выберите магазин"
City,Город
"Class Details","Подробная информация"
"Class Name",Название
Closed,Закрыт
CMS,CMS
"CMS Blocks",Блоки
"CMS Pages",Страницы
Code,Код
Comment,Комментарий
Company,Компания
Comparable,Сравниваемый
"Comparable on Front-end","Сравниваемый в каталоге"
Conditions,Условия
"Conditions and Actions","Условия и действия"
Config,Настройка
"Configurable Product Settings","Опции настраиваемого товара"
Configuration,Настройки
"Configuration successfully saved","Настройки успешно сохранены"
"Connect with the Magento Community","Сайт поддержки мадженто"
Content,Содержание
Continue,Продолжить
"Convert to Plain Text","Конвертировать в простой текст"
Country,Страна
County,Страна
"Coupon Code","Код купона"
"Coupon code","Код купона"
Coupons,Купоны
"Coupons Reports","Отчёт по купонам"
"Create Backup","Создать резервную копию"
"Create Credit Memo","Информация о кредитной карточке"
"Create New Credit Memo","Создать новую запись о кредитной карточке"
"Create New Customer","Создать нового покупателя"
"Create New Invoice","Создать новый счёт"
"Create New Order","Создать новый заказ"
"Create Newsletter Template","Создать шаблон рассылки"
"Create Order","Создать заказ"
"Create Product Settings","Создание товара - настройки"
"Created at",Создано
"Created On","Дата создания"
"Credit Card Number","Номер кредитной карточки"
"Credit Card Number: %s","<strong>Номер кредитной карточки:</strong> <span class=""nowrap"">%s</span>"
"Credit Card Number: xxxx-%s","<strong>Номер кредитной карточки:</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Тип кредитной карточки"
"Credit Card Type: %s","<strong>Тип кредитной карточки:</strong> <span class=""nowrap"">%s</span>"
"Credit Memo Date: %s","Информация о кредитной карточке, дата: %s"
"Credit Memo Information","Информация о кредитной карточке"
"Credit Memo was not saved","Информация о кредитной карточке не сохранена"
"Credit Memo was saved succesfully","Информация о кредитной карточке успешно сохранена"
Cross-sells,"Сопутствующие товары"
CSV,CSV
Currency,Валюта
"Currency Information","Информация о валюте"
"Current Configuration Scope:","Текущие настройки:"
Customer,Покупатель
"Customer Addresses","Адреса покупателя"
"Customer Balance","Баланс покупателя"
"Customer doesn't have primary billing address","У покупателя нет первичного адрес плательщика"
"Customer Group was successfully deleted","Группы покупателей успешно удалена"
"Customer Group was successfully saved","Группа покупателей успешно сохранена"
"Customer Group: %s","<strong>Группа покупателей:</strong> %s"
"Customer Groups","Группы покупателей"
"This customer has no saved addresses.","У покупателя нет адресов"
"Customer Information","Информация о покупателе"
"Customer Notes","Заметки покупателя"
"Customer Reviews","Отзывы покупателей"
"Customer Since","Покупатель с"
"Customer Tags","Тэги покупателя"
"Customer Tax Class","Налог покупателя"
"Customer Tax Class Information","Информация о налоге покупателя"
"Customer Tax Classes","Налоги для покупателей"
"Customer View","Просмотр покупателя"
"Customer was deleted","Покупатель удалён"
"Customer was successfully saved","Покупатель успешно сохранён"
"Customer with the same email already exists.","Покупатель с данным email адресом уже существует."
Customers,Покупатели
"Customers Only","Только для покупателей"
"Customers Report","Отчёт по покупателям"
"Customers Reviews","Отзывы по покупателям"
"Customers Tagged '%s'","Покупатели отмеченные '%s'"
"Customers Tagged Product","Товар отмеченный покупателем"
"Customers Tags","Тэги покупателей"
"Customers that have wishlist: %s%","Покупатели, у которых есть отмеченные товары: %s%"
"Customers' Tags","Тэги покупателей"
Dashboard,Главная
"Dashboard Control","Настройки главной страницы"
"Data Type for Saving in Database","Тип данных для сохранения в базе данных"
Datafeeds,"RSS каналы"
Date,Дата
"Date Added","Дата создания"
"Date and Time","Дата и время"
"Date Closed","Дата закрытия"
"Date Created","Дата создания"
"Date Expire","Дата окончания"
"Date Posted","Дата создания"
"Date Start","Дата создания"
"Date Updated","Дата обновления"
Datetime,Дата
"Days in Wishlist","Дней в отмеченных товарах"
DB,БД
Decimal,Десятичный
"Decimal Number","Десятичное число"
"Default Billing Address","Адрес плательщика по умолчанию"
"Default config","Значение по умолчанию"
"Default price","Цена по умолчанию"
"Default Qty","Количество по умолчанию"
"Default Shipping Address","Адрес доставки по умолчанию"
"Default Store","Магазин по умолчанию"
Delete,Удалить
"Delete Address","Удалить адрес"
"Delete Answer","Удалить ответ"
"Delete Attribute","Удалить атрибут"
"Delete Attribute Set","Удалить набор атрибутов"
"Delete Block","Удалить блок"
"Delete Category","Удалить категорию"
"Delete Class","Удалить класс"
"Delete Customer","Удалить покупателя"
"Delete Customer Group","Удалить группу покупателей"
"Delete Invoice","Удалить счёт"
"Delete Option","Удалить опцию"
"Delete Page","Удалить страницу"
"Delete Poll","Удалить опрос"
"Delete Rate","Удалить оценку"
"Delete Rating","Удалить рейтинг"
"Delete Review","Удалить отзыв"
"Delete Role","Удалить группу"
"Delete Rule","Удалить правило"
"Delete Search","Удалить поиск"
"Delete Selected Group","Удалить выбранную группу"
"Delete Selected Problems","Удалить выбранные проблемы"
"Delete Store","Удалить магазин"
"Delete Tag","Удалить тэг"
"Delete Template","Удалить шаблон"
"Delete Tier","Удалить уровень"
"Delete User","Удалить пользователя"
"Delete Website","Удалить веб сайт"
Description,Описание
Detail,"Подробная информация"
"Detailed Rating","Подробный рейтинг"
Disable,Запретить
Disabled,Выключен
Discount,Скидка
"Discount amount",Скидка
"Do you really want to cancel the queue?","Вы действительно хотите отменить очередь?"
"Doc Number","Номер документа"
"Double click on a group to rename it","Двойной клик на группе чтобы переименовать"
Download,Загрузить
Dropdown,"Выпадающее меню"
Duplicate,Дублировать
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Дублировать ряд номер %s (Страна ""%s"", Регион ""%s"", Почтовый индекс ""%s"" и значение ""%s"")"
Edit,Редактировать
"Edit ""%s""","Редактировать ""%s"""
"Edit %s Tax Class","Редактировать налог %s"
"Edit %s Tax Class Title","Редактировать заголовок налога %s"
"Edit Answer '%s'","Редактировать ответ '%s'"
"Edit Attribute Set '%s'","Редактировать набор атрибутов '%s'"
"Edit Block","Редактировать блок"
"Edit Block '%s'","Редактировать блок '%s'"
"Edit Class Details","Редактировать налог"
"Edit Customer Group","Редактировать группу покупателей"
"Edit Customer Groups","Редактировать группы покупателей"
"Edit Customer's Address","Редактировать адрес покупателя"
"Edit Email Template","Редактировать шаблон письма"
"Edit Group","Редактировать группу"
"Edit Invoice","Редактировать счёт"
"Edit Invoice #","Редактировать счёт номер"
"Edit Invoice #%s","Редактировать счёт номер %s"
"Edit Newsletter","Редактировать рассылку"
"Edit Newsletter Template","Редактировать шаблон рассылки"
"Edit Order","Редактировать заказ"
"Edit Order #%s","Редактировать заказ номер %s"
"Edit Order Status","Редактировать статус заказа"
"Edit Page","Редактировать страницу"
"Edit Page '%s'","Редактировать страницу '%s'"
"Edit Poll","Редактировать опрос"
"Edit Poll '%s'","Редактировать опрос '%s'"
"Edit Poll Answer","Редактировать ответы"
"Edit Product Attribute","Редактировать атрибут товара"
"Edit Queue","Редактировать очередь"
"Edit Rating","Редактировать рейтинг"
"Edit Review '%s'","Редактировать отзыв '%s'"
"Edit Role","Редактировать группу"
"Edit Rule","Редактировать правило"
"Edit Rule '%s'","Редактировать правило '%s'"
"Edit Search","Редактировать поиск"
"Edit Search '%s'","Редактировать поиск '%s'"
"Edit Set Name","Редактировать название набора"
"Edit Sorting","Редактировать сортировку"
"Edit Store","Редактировать магазин"
"Edit Store '%s'","Редактировать магазин '%s'"
"Edit System Template","Редактировать системный шаблон"
"Edit Tag","Редактировать тэг"
"Edit Tag '%s'","Редактирование тэга '%s'"
"Edit Tax Rate","Редактировать ставку налога"
"Edit Tax Rule","Редактировать налог"
"Edit Template","Редактировать шаблон"
"Edit User","Редактировать пользователя"
"Edit User '%s'","Редактировать пользователя '%s'"
"Edit Website","Редактировать веб сайт"
"Edit Website '%s'","Редактировать веб сайт '%s'"
Email,"Email адрес"
"Email Address","Email адрес"
"Email Preview","Предварительный просмотр Email"
Empty,Пусто
Enable,Разрешить
Enabled,Включён
"Error Code","Код ошибки"
"Error during import: %s","Ошибка в процессе импорта: %s"
"Error Text","Текст ошибки"
"Error while adding a group. Please try again later.","Ошибка при добавлении группы. Пожалуйста, попробуйте позже."
"Error while deleting a group. Please try again later.","Ошибка при удалении группы. Пожалуйста, попробуйте позже."
"Error while deleting this rate. Please try again later.","Ошибка при удалении рейтинга. Пожалуйста, попробуйте позже."
"Error while deleting this role. Please try again later.","Ошибка при удалении данной группы. Пожалуйста, попробуйте позже."
"Error while deleting this set.","Ошибка при удалении данного набора."
"Error while deleting this tax class. Please try again later.","Ошибка при удалении налога. Пожалуйста, попробуйте позже."
"Error while deleting this tax rule. Please try again later.","Ошибка при удалении налога. Пожалуйста, попробуйте позже."
"Error while saving account. Please try again later","Ошибка при сохранении учётной записи. Пожалуйста, попробуйте позже"
"Error while saving this group. Group with the same name already exists.","Ошибка при сохранении группы. Группа с таким названием уже существует."
"Error while saving this group. Please try again later.","Ошибка при сохранении группы. Пожалуйста, попробуйте позже."
"Error while saving this rate. Please try again later.","Ошибка при сохранении рейтинга. Пожалуйста, попробуйте позже."
"Error while saving this role. Please try again later.","Ошибка при сохранении данной группы. Пожалуйста, попробуйте позже."
"Error while saving this set. Set with the same name already exists.","Ошибка при сохранении данного набора. Набор с таким названием уже существует."
"Error while saving this tax class. Class with the same name already exists.","Ошибка при сохранении налога. Налог с таким именем уже существует."
"Error while saving this tax class. Please try again later.","Ошибка при сохранении налога. Пожалуйста, попробуйте позже."
"Error while saving this tax rule. Please try again later.","Ошибка при сохранении налога. Пожалуйста, попробуйте позже."
"ex. http://domain.com","например http://домен.ru"
"Exclude multi-address checkout","Исключить мульти-адресное оформление"
"Expiration Date","Истечение срока"
"Expiration Date: %s","<strong>Истечение срока:</strong> <span class=""nowrap"">%s</span>"
"Expiration Date: %s/%s","Истечение срока: %s/%s"
Export,Экспорт
"Export CSV","Экспорт CSV"
"Export Tax Rates","Экспортировать ставки налога"
"Export to:","Экспорт в:"
Failed,Неудачно
Fax,Факс
"Feature Products","Рекомендуемые товары"
"Filterable (no results)","Сортируемый (нет результатов)"
"First Name",Имя
"Fiterable (with results)","Сортируемый (с результатами)"
Fixed,Закреплённый
"Fixed amount discount","Фиксированная сумма скидки"
for,для
"For all types of checkout","Для всех типов оформления"
"For matching items only","Только для найденных единиц"
"For shipment with matching items","Для доставки с сопоставимыми единицами"
Format,Формат
"Free ground shipping","Бесплатная доставка"
From,От
"From Date","Дата от"
"Frontend Model","Модель каталога"
"Frontend Properties","Настройки каталога"
General,Данные
"General Information","Общая информация"
"Gift Certificate","Подарочный сертификат"
Global,Глобальные
"Global Attribute","Глобальный атрибут"
"Global Record Search","Глобальный поиск"
"Globally Editable","Глобально редактируемый"
"Grand Total",Всего
"Grid (default) / List","Сетка (по умолчанию) / Список"
"Grid only","Только сетка"
Group,Группа
"Group Information","Информация о группе"
"Group Name","Название группы"
"Group was successfully deleted","Группа успешно удалена"
Groups,Группы
Guest,Гость
"Haven't been charged yet","Ещё не оплачен"
"Header Text","Текст заголовка"
"Help Us Keep Magento Healthy - Report All Bugs","Помогите нам в развитии мадженто - <a href=""http://www.magentocommerce.com/bug-tracking"" target=""varien_external""><strong>Сообщайте обо всех ошибках</strong></a>"
Hits,Просмотров
Home,"Главная страница"
HTML,HTML
"HTTP (unsecure)","HTTP (небезопасный)"
"HTTPS (SSL)","HTTPS (SSL)"
ID,"ID код"
Identifier,Идентификатор
"If you do not specify an option value for a store then the default value will be used.","Если Вы не укажите значение данной опции для магазина, будет использовано значение опции по умолчанию."
Image,Картинка
Images,Картинки
images/logo.gif,images/logo.gif
"Import / Export Tax Rates","Импорт / Экспорт ставок налогов"
"Import Rates From www.webservicex.net","Импортировать данные с www.webservicex.net"
"Import Tax Rates","Импортировать ставки налога"
in,в
Inactive,Неактивен
"Included Customer Groups","Включённые группы покупателей"
"Included Product Categories","Вложенные категории"
"Input Validation for Store Owner","Проверка данных для владельца магазина"
Integer,Целое
"Integer Number","Целое число"
"Interface Language","Язык интерфейса"
"Interface Locale: %s","Язык интерфейса: %s"
"Invalid %s ""%s"" in the Row #%s","Неверный %s ""%s"" в ряду номер %s"
"Invalid Answer","Неправильный ответ"
"Invalid Country ""%s"" in the Row #%s","Неверная страна ""%s"" в ряду номер %s"
"Invalid file upload attempt","Ошибка при загрузке файла"
"Invalid Region/State ""%s"" in the Row #%s","Неверный Регион ""%s"" в ряду номер %s"
"Invalid request","Неверный запрос"
"Invalid Shipping Price ""%s"" in the Row #%s","Неверная стоимость доставки ""%s"" в ряду номер %s"
"Invalid Table Rates File Format","Неправильный формат данных"
"Invoice #","Счёт номер"
"Invoice #%s","Счёт номер %s"
"Invoice Date","Дата счёта"
"Invoice Date: %s","Дата счёта: %s"
"Invoice Information","Информация о счёте"
"Invoice Status: %s","Статус счёта: %s"
"Invoice Status: Paid","Статус счёта: Оплачен"
"Invoice was charged succesfully","Счёт был успешно оплачен"
"Invoice was not charged","Счёт не оплачен"
"Invoice was not saved","Счёт не сохранён"
