"Base Image","Базовая картинка"
"Clean boot cut women's business pant","Clean boot cut women's business pant"
"CMS Block",Блок
Color,Цвет
Cost,Стоимость
Description,Описание
"Display Mode","Способ отображения"
General,Основные
Image,Картинка
"Image Gallery","Галерея картинок"
Images,Картинки
"Is Active",Активен
"Is Anchor",Ссылка
"Is Qty Decimal","Десятичное количество"
"Kamper state-of-art Extra Comfort runners","Kamper state-of-art Extra Comfort runners"
Manufacturer,Производитель
"Meta Description","Meta Description"
"Meta Information","Мета информация"
"Meta Keywords","Meta Keywords"
"Meta Title","Meta Title"
"Minimal Price","Минимальная цена"
Name,Название
"Page Layout","Формат страницы"
"Page Title","Заголовок страницы"
"Panasoic HDC-SD1 High Definition Camcorder","Panasoic HDC-SD1 High Definition Camcorder"
Prices,Цены
"Sandra Mashiso Red Business shoes","Sandra Mashiso Red Business shoes"
"Short Description","Краткое описание"
"Small Image","Маленькая картинка"
Status,Статус
"Tax Class",Налог
Thumbnail,"Маленькая картинка"
"Tier Price","Уровневая цена"
"URL key","Ключ URL"
Visibility,Видимость
Weight,Вес
"Zynicon Cinema Display 19-inch LCD monitor","Zynicon Cinema Display 19-inch LCD monitor"
"Zynicon Clear Blue 24-inch LCD monitor","Zynicon Clear Blue 24-inch LCD monitor"
