"To Fixed Value","К фиксированному значению"
"Customer registered: %s","Покупатель зарегистрирован: %s"
"Rule price","Правило цены"
"Customer is new buyer: %s","Покупатель является новым: %s"
"By Fixed value","Фиксированное значение"
"Update the Product","Обновить товар"
"To Percentage","К проценту"
"Attribute Set","Набор атрибутов"
"Start at: %s","От: %s"
"By Percentage","Процент"
"Expire at: %s","Истечение срока: %s"
"Name: %s","Название: %s"
"Update product's %s %s: %s","Обновить товары %s %s: %s"
"Product Attribute","Атрибут товара"
"Conditions Combination","Сочетание условий"
"Description: %s","Описание: %s"
