"Attribute Set","Набор атрибутов"
"By Fixed value","Фиксированное значение"
"By Percentage",Процент
"Conditions combination","Сочетание условий"
"Customer is new buyer: %s","Покупатель является новым: %s"
"Customer registered: %s","Покупатель зарегистрирован: %s"
"Description: %s","Описание: %s"
"Expire at: %s","Истечение срока: %s"
"Invalid item entity","Неправильный объект товара"
"Name: %s","Название: %s"
"Price in cart","Цена в корзине"
"Product attribute combination","Сочетание атрибутов товара"
"Quantity in cart","Количество в корзине"
"Row total in cart","Всего рядов в корзине"
"Special price","Специальная цена"
"Start at: %s","От: %s"
"To Fixed Value","К фиксированному значению"
"To Percentage","К проценту"
"Update product's %s %s: %s","Обновить товары %s %s: %s"
"Update the Product","Обновить товар"
