"1 Day Freight","1 день фрахт"
"2 Day Freight","2 день фрахт"
2Day,"2 день"
"2nd Day Air","Авиа на второй день"
"2nd Day Air AM","На второй день авиа посылка"
"2nd Day Air AM Letter","На второй день авиа письмо"
"2nd Day Air Letter","Авиа письмо на 2 день"
"3 Day Freight","3 дня фрахт"
"3 Day Select","3 дня"
"All Services","Все услуги"
"Bound Printed Matter","Печатный материал"
"Business Service Center","Бизнес центр"
"Canada Standard","Канада стандарт"
Commercial,Коммерческая
"Customer Counter","Счётчик покупателя"
"Customer Packaging","Упаковка покупателя"
"Drop Box",Ящик
"Europe First Priority","Европа первый класс"
Express,Экспресс
"Express Mail","Экспресс почта"
"Express Saver",Экспресс
"FedEx 10kg Box","FedEx 10кг. ящик"
"FedEx 25kg Box","FedEx 25кг. ящик"
"FedEx Box","FedEx ящик"
"FedEx Envelope","FedEx конверт"
"FedEx Pak","Доставка FedEx Pak"
"FedEx Tube","Доставка FedEx Tube"
"First Overnight","Первые сутки"
First-Class,"Первый класс"
Flat,Плоская
"Flat Rate Box","Плоский ящик"
"Flat Rate Envelope","Плоский тариф"
Ground,Наземная
"Ground Commercial","Наземная коммерческая"
"Ground Residential","Наземная резидентная"
"Home Delivery","Доставка до дверей"
"International Economy","Международная экономичная"
"International First","Международная первый класс"
"International Priority","Международный приоритет"
"Intl Economy Freight","Международный экономичный фрахт"
"Intl Priority Freight","Международный фрахт"
"Invalid DHL XML code for type %s: %s","Неправильный DHL XML код для %s: %s"
"Invalid DHL XML code type: %s","Неправильный DHL XML тип кода: %s"
"Invalid FedEx XML code for type %s: %s","Неправильный FedEx XML код для %s: %s"
"Invalid FedEx XML code type: %s","Неправильный FedEx XML тип кода: %s"
"Invalid UPS CGI code for type %s: %s","Неправильный UPS CGI код для %s: %s"
"Invalid UPS CGI code type: %s","Неправильный UPS CGI код: %s"
"Invalid USPS XML code for type %s: %s","Неправильный USPS XML код для %s: %s"
"Invalid USPS XML code type: %s","Неправильный USPS XML тип кода: %s"
Large,Большой
Letter,Письмо
"Letter Center","Центр письмо"
Library,Библиотека
"Media Mail","Медиа почта"""""
"Next Afternoon","Следующий полдень"
"Next Day Air","Авиа на следующий день"
"Next Day Air Early AM","Авиа на следующий день"
"Next Day Air Early AM Letter","Письмо авиа на следующий день"
"Next Day Air Intra (Puerto Rico)","На следующий день авиа (Пуэрто Рико)"
"Next Day Air Letter","Авиа письмо на следующий день"
"Next Day Air Saver","На следующий день авиа"
"Next Day Air Saver Letter","На следующий день авиа письмо"
No,Нет
Non-rectangular,"Не прямоугольный"
None,Нет
"On Call Air","Авиа по звонку"
"One Time Pickup",Самовывоз
Oversize,Негабаритный
Package,Пакет
Parcel,Посылка
"Parcel Post","Почта посылка"
"Priority Mail","Приоритетная почта"
"Priority Overnight","Приоритет за сутки"
Rectangular,Прямоугольный
Regular,Обычная
"Regular Daily Pickup","Регулярный ежедневный самовывоз"
"Regular Pickup","Регулярный самовывоз"
"Request Courier","Запросить курьера"
Residential,Резидентный
"Second Day Service","На второй день"
"Standard Overnight","За сутки стандартный"
Station,Станция
"UPS Express Box","UPS Экспресс ящик"
"UPS Letter Envelope","Доставка UPS письмо"
"UPS Tube","Доставка UPS Tube"
"UPS Worldwide 10 kilo","Доставка UPS всемирный 10 кг."
"UPS Worldwide 25 kilo","UPS всемирный 25 кг."
Variable,Переменный
"Worldwide Expedited","Всемирная срочная"
"Worldwide Express","Всемирный экспресс"
"Worldwide Express Letter","Всемирный экспресс письмо"
"Worldwide Express Plus","Всемирный экспресс плюс"
"Worldwide Express Plus Letter","Всемирный экспресс письмо"
"Worldwide Express Saver","Всемирный экспресс"
Yes,Да
"Your Packaging","Ваша упаковка"
