"%d Review(s)","%d Review(s)"
"(%s Reviews)","(%s Reviews)"
"(Posted on %s)","(Posted on %s)"
"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"Add Items to Cart","Add Items to Cart"
"Add Your Review","Add Your Review"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Availability: In stock. Ships within 24hours.","Availability: In stock. Ships within 24hours."
"Availability: Out of stock.","Availability: Out of stock."
"Average Customer Rating","Average Customer Rating"
"Average Customer Rating:","Average Customer Rating:"
Back,Back
"Back to Main Product Info","Back to Main Product Info"
"Back to My Reviews","Back to My Reviews"
"Back to Product Reviews","Back to Product Reviews"
"Be the first to review this product","Be the first to review this product"
"Buy %s for %s","Buy %s for <strong>%s</strong>"
"Customer Reviews","Customer Reviews"
"How do you rate this product?","How do you rate this product?"
"My Product Reviews","My Product Reviews"
"My Recent Reviews","My Recent Reviews"
Nickname,Nickname
OR,OR
"Please select one of each of the ratings above","Please select one of each of the ratings above"
"Product Rating:","Product Rating:"
"Product Review (submitted on %s):","<strong>Product Review</strong> (submitted on %s):"
"Product Reviews","Product Reviews"
Qty,Qty
Rating:,Rating:
Review,Review
"Review Details","Review Details"
"Review by %s","by <em>%s</em>"
"Submit Review","Submit Review"
"Summary of Your Review","Summary of Your Review"
"Unable to post review. Please, try again later.","Unable to post review. Please, try again later."
"View All Reviews","View All Reviews"
"View Details","View Details"
"Write Your Own Review","Write Your Own Review"
"You have submitted no reviews.","You have submitted no reviews."
"You're reviewing: %s","You're reviewing: <span class=""normal-weight"">%s</span>"
"Your Rating:","Your Rating:"
"Your Review (submitted on %s):","<strong>Your Review</strong> (submitted on %s):"
"Your review has been accepted for moderation","Your review has been accepted for moderation"
