Balance,Balance,missing
"Create In","Create In",missing
"Created From","Created From",missing
"Customer Group","Customer Group",missing
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter.","redundant (42 - /home/vasily/dev/magento/app/design/frontend/default/default/template/customer//account/dashboard/info.phtml)"
"You are currently subscribed to no newsletters.","You are currently subscribed to no newsletters.",missing
"* Required Fields","* Required Fields","duplicate (34-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//form/forgotpassword.phtml, 126-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//form/register.phtml, 107-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//form/address.phtml, 69-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//form/edit.phtml, 45-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//form/changepassword.phtml, 57-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//form/login.phtml, 118-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//address/edit.phtml)"
"A new password was sent","A new password was sent","duplicate (201-/home/vasily/dev/magento/app/code/core/Mage/Customer//controllers/AccountController.php, 201-/home/vasily/dev/magento/app/code/core/Mage/Customer//controllers/AccountController.php)"
"Account Information","Account Information","duplicate (27-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//form/edit.phtml, 29-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//account/dashboard.phtml)"
"Account information was successfully saved","Account information was successfully saved","duplicate (260-/home/vasily/dev/magento/app/code/core/Mage/Customer//controllers/AccountController.php, 260-/home/vasily/dev/magento/app/code/core/Mage/Customer//controllers/AccountController.php)"
"Add New Address","Add New Address","duplicate (64-/home/vasily/dev/magento/app/code/core/Mage/Customer//Block/Address/Edit.php, 64-/home/vasily/dev/magento/app/code/core/Mage/Customer//Block/Address/Edit.php, 29-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//address/book.phtml)"
"Additional Address Entries","Additional Address Entries","duplicate (77-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//address/book.phtml, 49-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//address.phtml)"
Address,Address,"duplicate (51-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//form/address.phtml, 63-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//address/edit.phtml)"
"Address Book","Address Book","duplicate (33-/home/vasily/dev/magento/app/code/core/Mage/Customer//Block/Address/Book.php, 33-/home/vasily/dev/magento/app/code/core/Mage/Customer//Block/Address/Book.php, 28-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//address/book.phtml, 22-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//account/dashboard/address.phtml)"
Admin,Admin,"duplicate (39-/home/vasily/dev/magento/app/code/core/Mage/Customer//Model/Entity/Customer/Attribute/Source/Store.php, 39-/home/vasily/dev/magento/app/code/core/Mage/Customer//Model/Entity/Customer/Attribute/Source/Store.php)"
"Are you sure you want to delete this address?","Are you sure you want to delete this address?","duplicate (99-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//address/book.phtml, 81-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//address.phtml)"
Back,Back,"duplicate (127-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//form/register.phtml, 108-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//form/address.phtml, 46-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//form/changepassword.phtml, 119-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//address/edit.phtml, 95-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//address/book.phtml, 83-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//order/view.phtml, 56-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//orders.phtml, 76-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//address.phtml, 24-/home/vasily/dev/magento/app/design/frontend/default/default/template/customer//balance.phtml)"
"Cannot delete customer","Cannot delete customer","duplicate (183-/home/vasily/dev/magento/app/code/core/Mage/Customer//Model/Mysql4/Customer.php, 183-/home/vasily/dev/magento/app/code/core/Mage/Customer//Model/Mysql4/Customer.php)"
