"(ver. %s)","(ver. %s)","redundant (107 - /home/vasily/dev/magento/app/design/install/default/default/template//page.phtml)"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy","redundant (107 - /home/vasily/dev/magento/app/design/install/default/default/template//page.phtml)"
Magento,Magento,"redundant (55 - /home/vasily/dev/magento/app/design/install/default/default/template//page.phtml)"
"Magento Installation Wizard","Magento Installation Wizard","redundant (30 - /home/vasily/dev/magento/app/design/install/default/default/template//page.phtml)"
"Magento&trade; is a registered Trademark of Irubin Consulting Inc. DBA Varien. &copy; Copyright 2007","Magento&trade; is a registered Trademark of Irubin Consulting Inc. DBA Varien. &copy; Copyright 2007","redundant (108 - /home/vasily/dev/magento/app/design/install/default/default/template//page.phtml)"
"Report All Bugs","Report All Bugs","redundant (107 - /home/vasily/dev/magento/app/design/install/default/default/template//page.phtml)"
"Skip to Main Content","Skip to Main Content","redundant (57 - /home/vasily/dev/magento/app/design/install/default/default/template//page.phtml)"
"You can specify server port, ex.: localhost:3307<br/>If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","You can specify server port, ex.: localhost:3307<br/>If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","redundant (43 - /home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml)"
"Configuration options","Configuration options","duplicate (129-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml, 130-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml)"
Continue,Continue,"duplicate (57-/home/vasily/dev/magento/app/design/install/default/default/template//install/locale.phtml, 96-/home/vasily/dev/magento/app/design/install/default/default/template//install/begin.phtml, 143-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml, 152-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml, 85-/home/vasily/dev/magento/app/design/install/default/default/template//install/create_admin.phtml)"
"Database connection error","Database connection error","duplicate (57-/home/vasily/dev/magento/app/code/core/Mage/Install//Model/Installer/Db.php, 57-/home/vasily/dev/magento/app/code/core/Mage/Install//Model/Installer/Db.php)"
"Database Name","Database Name","duplicate (47-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml, 48-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml)"
"Default Currency","Default Currency","duplicate (129-/home/vasily/dev/magento/app/code/core/Mage/Install//Block/Locale.php, 129-/home/vasily/dev/magento/app/code/core/Mage/Install//Block/Locale.php, 49-/home/vasily/dev/magento/app/design/install/default/default/template//install/locale.phtml)"
"Default store","Default store","duplicate (64-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml, 65-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml)"
"Encryption Key","Encryption Key","duplicate (72-/home/vasily/dev/magento/app/design/install/default/default/template//install/create_admin.phtml, 73-/home/vasily/dev/magento/app/design/install/default/default/template//install/create_admin.phtml, 76-/home/vasily/dev/magento/app/design/install/default/default/template//install/create_admin.phtml)"
"First Name","First Name","duplicate (37-/home/vasily/dev/magento/app/design/install/default/default/template//install/create_admin.phtml, 38-/home/vasily/dev/magento/app/design/install/default/default/template//install/create_admin.phtml)"
"For HTTP connections, the default port is 80.","For HTTP connections, the default port is 80.","duplicate (89-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml, 122-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml)"
"For HTTPS connections, the default port is 443.","For HTTPS connections, the default port is 443.","duplicate (88-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml, 121-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml)"
Host,Host,"duplicate (40-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml, 69-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml)"
"Last Name","Last Name","duplicate (41-/home/vasily/dev/magento/app/design/install/default/default/template//install/create_admin.phtml, 42-/home/vasily/dev/magento/app/design/install/default/default/template//install/create_admin.phtml)"
Locale,Locale,"duplicate (79-/home/vasily/dev/magento/app/code/core/Mage/Install//Block/Locale.php, 79-/home/vasily/dev/magento/app/code/core/Mage/Install//Block/Locale.php, 34-/home/vasily/dev/magento/app/design/install/default/default/template//install/locale.phtml, 39-/home/vasily/dev/magento/app/design/install/default/default/template//install/locale.phtml)"
"Login Information","Login Information","duplicate (52-/home/vasily/dev/magento/app/design/install/default/default/template//install/create_admin.phtml, 53-/home/vasily/dev/magento/app/design/install/default/default/template//install/create_admin.phtml)"
"One from PHP Extensions ""%s"" must be loaded","One from PHP Extensions ""%s"" must be loaded","duplicate (67-/home/vasily/dev/magento/app/code/core/Mage/Install//Model/Installer/Env.php, 67-/home/vasily/dev/magento/app/code/core/Mage/Install//Model/Installer/Env.php)"
Password,Password,"duplicate (61-/home/vasily/dev/magento/app/design/install/default/default/template//install/create_admin.phtml, 62-/home/vasily/dev/magento/app/design/install/default/default/template//install/create_admin.phtml)"
"Path ""%s"" must be writable","Path ""%s"" must be writable","duplicate (98-/home/vasily/dev/magento/app/code/core/Mage/Install//Model/Installer/Filesystem.php, 98-/home/vasily/dev/magento/app/code/core/Mage/Install//Model/Installer/Filesystem.php)"
"Personal Information","Personal Information","duplicate (32-/home/vasily/dev/magento/app/design/install/default/default/template//install/create_admin.phtml, 33-/home/vasily/dev/magento/app/design/install/default/default/template//install/create_admin.phtml)"
"PHP Extension ""%s"" must be loaded","PHP Extension ""%s"" must be loaded","duplicate (74-/home/vasily/dev/magento/app/code/core/Mage/Install//Model/Installer/Env.php, 74-/home/vasily/dev/magento/app/code/core/Mage/Install//Model/Installer/Env.php)"
"PHP Extension '%s' loaded","PHP Extension '%s' loaded","duplicate (80-/home/vasily/dev/magento/app/code/core/Mage/Install//Model/Installer/Env.php, 80-/home/vasily/dev/magento/app/code/core/Mage/Install//Model/Installer/Env.php)"
Port,Port,"duplicate (85-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml, 86-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml)"
Protocol,Protocol,"duplicate (79-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml, 80-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml)"
"Required Fields","Required Fields","duplicate (56-/home/vasily/dev/magento/app/design/install/default/default/template//install/locale.phtml, 142-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml, 84-/home/vasily/dev/magento/app/design/install/default/default/template//install/create_admin.phtml)"
"Secure Connection","Secure Connection","duplicate (96-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml, 97-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml)"
"Secure Port","Secure Port","duplicate (118-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml, 119-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml)"
"Secure Protocol","Secure Protocol","duplicate (111-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml, 112-/home/vasily/dev/magento/app/design/install/default/default/template//install/config.phtml)"
"This Url is invalid","This Url is invalid","duplicate (126-/home/vasily/dev/magento/app/code/core/Mage/Install//Model/Installer/Config.php, 126-/home/vasily/dev/magento/app/code/core/Mage/Install//Model/Installer/Config.php)"
"Time Zone","Time Zone","duplicate (97-/home/vasily/dev/magento/app/code/core/Mage/Install//Block/Locale.php, 97-/home/vasily/dev/magento/app/code/core/Mage/Install//Block/Locale.php, 45-/home/vasily/dev/magento/app/design/install/default/default/template//install/locale.phtml)"
"Url ""%s"" is invalid","Url ""%s"" is invalid","duplicate (125-/home/vasily/dev/magento/app/code/core/Mage/Install//Model/Installer/Config.php, 125-/home/vasily/dev/magento/app/code/core/Mage/Install//Model/Installer/Config.php)"
"Url ""%s"" is not accessible","Url ""%s"" is not accessible","duplicate (120-/home/vasily/dev/magento/app/code/core/Mage/Install//Model/Installer/Config.php, 120-/home/vasily/dev/magento/app/code/core/Mage/Install//Model/Installer/Config.php)"
Username,Username,"duplicate (56-/home/vasily/dev/magento/app/design/install/default/default/template//install/create_admin.phtml, 57-/home/vasily/dev/magento/app/design/install/default/default/template//install/create_admin.phtml)"
