"Unable to post review. Please try again later.","Unable to post review. Please try again later.",missing
"Unable to post review. Please, try again later.","Unable to post review. Please, try again later.","redundant (78 - /home/vasily/dev/magento/app/code/core/Mage/Review//controllers/ProductController.php)"
"%d Review(s)","%d Review(s)","duplicate (156-/home/vasily/dev/magento/app/code/core/Mage/Review//Helper/Product.php, 156-/home/vasily/dev/magento/app/code/core/Mage/Review//Helper/Product.php, 27-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//helper/summary.phtml)"
"Add to Cart","Add to Cart","duplicate (64-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//product/detailed.phtml, 81-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//product/detailed.phtml)"
"Add to Compare","Add to Compare","duplicate (69-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//product/detailed.phtml, 76-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//product/detailed.phtml, 84-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//product/detailed.phtml)"
"Add to Wishlist","Add to Wishlist","duplicate (67-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//product/detailed.phtml, 74-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//product/detailed.phtml, 82-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//product/detailed.phtml)"
"Add Your Review","Add Your Review","duplicate (159-/home/vasily/dev/magento/app/code/core/Mage/Review//Helper/Product.php, 159-/home/vasily/dev/magento/app/code/core/Mage/Review//Helper/Product.php, 27-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//helper/summary.phtml, 28-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//list.phtml)"
"Availability: In stock. Ships within 24hours.","Availability: In stock. Ships within 24hours.","duplicate (59-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//product/detailed.phtml, 80-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//product/detailed.phtml)"
"Be the first to review this product","Be the first to review this product","duplicate (130-/home/vasily/dev/magento/app/code/core/Mage/Review//Helper/Product.php, 167-/home/vasily/dev/magento/app/code/core/Mage/Review//Helper/Product.php, 130-/home/vasily/dev/magento/app/code/core/Mage/Review//Helper/Product.php, 167-/home/vasily/dev/magento/app/code/core/Mage/Review//Helper/Product.php, 31-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//helper/summary_short.phtml, 32-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//helper/summary.phtml, 55-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//list.phtml)"
"Customer Reviews","Customer Reviews","duplicate (108-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//product/detailed.phtml, 23-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//list.phtml, 53-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//list.phtml)"
OR,OR,"duplicate (64-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//product/detailed.phtml, 81-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//product/detailed.phtml)"
"Product Reviews","Product Reviews","duplicate (79-/home/vasily/dev/magento/app/code/core/Mage/Review//Block/List/Detailed.php, 79-/home/vasily/dev/magento/app/code/core/Mage/Review//Block/List/Detailed.php)"
"Review by %s","Review by %s","duplicate (114-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//product/detailed.phtml, 43-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//list.phtml)"
"Review Details","Review Details","duplicate (23-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//customer/view.phtml, 23-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//view.phtml)"
"Unable to post review. Please, try again later.","Unable to post review. Please, try again later.","duplicate (78-/home/vasily/dev/magento/app/code/core/Mage/Review//controllers/ProductController.php, 78-/home/vasily/dev/magento/app/code/core/Mage/Review//controllers/ProductController.php)"
"View All Reviews","View All Reviews","duplicate (25-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//customer/recent.phtml, 28-/home/vasily/dev/magento/app/design/frontend/default/default/template/review//list.phtml)"
"Your review has been accepted for moderation","Your review has been accepted for moderation","duplicate (74-/home/vasily/dev/magento/app/code/core/Mage/Review//controllers/ProductController.php, 74-/home/vasily/dev/magento/app/code/core/Mage/Review//controllers/ProductController.php)"
