"Add to Cart","Add to Cart","duplicate (45-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag//product/result.phtml, 48-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag//customer/view.phtml)"
"Add to Wishlist","Add to Wishlist","duplicate (46-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag//product/result.phtml, 49-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag//customer/view.phtml)"
"All Tags","All Tags","duplicate (98-/home/vasily/dev/magento/app/code/core/Mage/Tag//Block/All.php, 98-/home/vasily/dev/magento/app/code/core/Mage/Tag//Block/All.php, 22-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag//cloud.phtml)"
"Data integrity: No header row found for attribute","Data integrity: No header row found for attribute","duplicate (343-/home/vasily/dev/magento/app/code/core/Mage/Tag//Model/Mysql4/Product/Collection.php, 343-/home/vasily/dev/magento/app/code/core/Mage/Tag//Model/Mysql4/Product/Collection.php)"
"Edit Tag","Edit Tag","duplicate (23-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag//customer/edit.phtml, 27-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag//customer/view.phtml)"
Grid,Grid,"duplicate (54-/home/vasily/dev/magento/app/code/core/Mage/Tag//Block/Product/Result.php, 54-/home/vasily/dev/magento/app/code/core/Mage/Tag//Block/Product/Result.php)"
List,List,"duplicate (54-/home/vasily/dev/magento/app/code/core/Mage/Tag//Block/Product/Result.php, 54-/home/vasily/dev/magento/app/code/core/Mage/Tag//Block/Product/Result.php)"
"My Tags","My Tags","duplicate (22-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag//customer/tags.phtml, 23-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag//customer/view.phtml)"
Name,Name,"duplicate (53-/home/vasily/dev/magento/app/code/core/Mage/Tag//Block/Product/Result.php, 53-/home/vasily/dev/magento/app/code/core/Mage/Tag//Block/Product/Result.php)"
"No matches found.","No matches found.","duplicate (108-/home/vasily/dev/magento/app/code/core/Mage/Tag//Block/Product/Result.php, 108-/home/vasily/dev/magento/app/code/core/Mage/Tag//Block/Product/Result.php)"
Price,Price,"duplicate (53-/home/vasily/dev/magento/app/code/core/Mage/Tag//Block/Product/Result.php, 53-/home/vasily/dev/magento/app/code/core/Mage/Tag//Block/Product/Result.php)"
"Products tagged with '%s'","Products tagged with '%s'","duplicate (95-/home/vasily/dev/magento/app/code/core/Mage/Tag//Block/Product/Result.php, 95-/home/vasily/dev/magento/app/code/core/Mage/Tag//Block/Product/Result.php, 23-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag//product/result.phtml)"
Tag,Tag,"duplicate (34-/home/vasily/dev/magento/app/code/core/Mage/Tag//Model/Mysql4/Tag.php, 34-/home/vasily/dev/magento/app/code/core/Mage/Tag//Model/Mysql4/Tag.php)"
"Thank you. Your tag has been accepted for moderation.","Thank you. Your tag has been accepted for moderation.","duplicate (152-/home/vasily/dev/magento/app/code/core/Mage/Tag//controllers/CustomerController.php, 152-/home/vasily/dev/magento/app/code/core/Mage/Tag//controllers/CustomerController.php)"
"Unable to find any product tagged with '%s'","Unable to find any product tagged with '%s'","duplicate (52-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag//product/result.phtml, 55-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag//customer/view.phtml)"
"Unable to remove tag. Please, try again later.","Unable to remove tag. Please, try again later.","duplicate (116-/home/vasily/dev/magento/app/code/core/Mage/Tag//controllers/CustomerController.php, 116-/home/vasily/dev/magento/app/code/core/Mage/Tag//controllers/CustomerController.php)"
"Unable to save tag(s)","Unable to save tag(s)","duplicate (93-/home/vasily/dev/magento/app/code/core/Mage/Tag//controllers/IndexController.php, 93-/home/vasily/dev/magento/app/code/core/Mage/Tag//controllers/IndexController.php)"
"Unable to save your tag. Please, try again later.","Unable to save your tag. Please, try again later.","duplicate (191-/home/vasily/dev/magento/app/code/core/Mage/Tag//controllers/CustomerController.php, 191-/home/vasily/dev/magento/app/code/core/Mage/Tag//controllers/CustomerController.php)"
"View All Tags","View All Tags","duplicate (24-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag//customer/recent.phtml, 33-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag//popular.phtml)"
"You tag was successfully deleted","You tag was successfully deleted","duplicate (112-/home/vasily/dev/magento/app/code/core/Mage/Tag//controllers/CustomerController.php, 112-/home/vasily/dev/magento/app/code/core/Mage/Tag//controllers/CustomerController.php)"
"You tag was successfully saved","You tag was successfully saved","duplicate (187-/home/vasily/dev/magento/app/code/core/Mage/Tag//controllers/CustomerController.php, 187-/home/vasily/dev/magento/app/code/core/Mage/Tag//controllers/CustomerController.php)"
"Your tag(s) have been submitted","Your tag(s) have been submitted","duplicate (89-/home/vasily/dev/magento/app/code/core/Mage/Tag//controllers/IndexController.php, 89-/home/vasily/dev/magento/app/code/core/Mage/Tag//controllers/IndexController.php)"
