"%s Item(s)","%s Item(s)"
"Add Items to Cart","Add Items to Cart"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to My Wishlist","Add to My Wishlist"
"Add to Wishlist","Add to Wishlist"
"Additional Information","Additional Information"
All,All
"Attribute model not defined","Attribute model not defined"
"Attribute saver ""%s"" not found","Attribute saver ""%s"" not found"
"Attribute source ""%s"" not found","Attribute source ""%s"" not found"
"Availability: In stock. Ships within 24 hours.","Availability: In stock. Ships within 24 hours."
"Availability: In stock. Ships within 24hours.","Availability: In stock. Ships within 24hours."
"Availability: Out of stock.","Availability: Out of stock."
"Best Selling Products","Best Selling Products"
"Best Value","Best Value"
"Browse By","Browse By"
"Buy %s for %s each","Buy %s for <strong>%s each</strong>"
"Cannot retrieve current category object","Cannot retrieve current category object"
Category,Category
"Category Navigation:","Category Navigation:"
"Check items to add to the cart or select all.","Check items to add to the cart or <a href=""#"" onclick=""selectAllRelated();return false;"">select all</a>."
"Choose an Option...","Choose an Option..."
"Choose option...","Choose option..."
"Clean boot cut women's business pant","Clean boot cut women's business pant"
"Clear All Items","Clear All Items"
"Close Window","Close Window"
"Compare Items","Compare Items"
"Compare Products","Compare Products"
"Compare Products - %d Items","Compare Products <span class=""count"">- %d Items</span>"
"Compare Products List","Compare Products List"
"Cross-sell Products","Cross-sell Products"
"Currently Shopping by","Currently Shopping by"
"Data integrity: No header row found for attribute","Data integrity: No header row found for attribute"
"Filter model name must be declared","Filter model name must be declared"
"Filter must be as object. Set correct filter please","Filter must be as object. Set correct filter please"
"Filters must be as array","Filters must be as array"
"Go to Home Page","Go to Home Page"
Grid,Grid
Home,Home
"Invalid Attribute Requested","Invalid Attribute Requested"
"Invalid block: %s","Invalid block: %s"
"Items %s to %s of %s total","Items <strong>%s</strong> to <strong>%s</strong> of <strong>%s</strong> total"
"Kamper state-of-art Extra Comfort runners","Kamper state-of-art Extra Comfort runners"
"Learn More","Learn More"
List,List
"More Views","More Views"
Next,Next
"No layout updates","No layout updates"
"No options of this product are available.","No options of this product are available."
OR,OR
"Old Price:","Old Price:"
"Out of Stock","Out of Stock"
Page:,Page:
"Panasoic HDC-SD1 High Definition Camcorder","Panasoic HDC-SD1 High Definition Camcorder"
"Please select static block ...","Please select static block ..."
Prev,Prev
Previous,Previous
Price,Price
"Print This Page","Print This Page"
"Product Attribute Specs","Product Attribute Specs"
"Product Description","Product Description"
"Product Name","Product Name"
"Products only","Products only"
Qty,Qty
"Quick Overview","Quick Overview"
"Regular Price:","Regular Price:"
"Related Products","Related Products"
"Remove Product","Remove Product"
"Remove This Item","Remove This Item"
SKU,SKU
"Sandra Mashiso Red Business shoes","Sandra Mashiso Red Business shoes"
"See all %s","See all %s"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"Shop by","Shop by"
"Shopping Options","Shopping Options"
Show,Show
"Sort by","Sort by"
"Special Price:","Special Price:"
"Static block and products","Static block and products"
"Static block only","Static block only"
"There are no products matching the selection.","There are no products matching the selection."
"This bundle is out of stock.","This bundle is out of stock."
"View Details","View Details"
"View as","View as"
"You have no items to compare.","You have no items to compare."
"You may also be interested in the following product(s)","You may also be interested in the following product(s)"
"Zoom In","Zoom In"
"Zoom Out","Zoom Out"
"Zynicon Cinema Display 19-inch LCD monitor","Zynicon Cinema Display 19-inch LCD monitor"
"Zynicon Clear Blue 24-inch LCD monitor","Zynicon Clear Blue 24-inch LCD monitor"
"per page","per page"
