ALL,ALL
ANY,ANY
TRUE,TRUE
FALSE,FALSE
"If %s of these conditions are %s:","If %s of these conditions are %s:"
is,is
"is not","is not"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","less than"
contains,contains
"does not contain","does not contain"
"is one of","is one of"
"is not one of","is not one of"
"Please choose a condition to add...","Please choose a condition to add..."
"Perform following actions","Perform following actions"
to,to
by,by
"Please choose an action to add...","Please choose an action to add..."
"Name: %s","Name: %s"
"Start at: %s","Start at: %s"
"Expire at: %s","Expire at: %s"
"Description: %s","Description: %s"
