"Controller file was loaded but class does not exist","Controller file was loaded but class does not exist","redundant (97 - /home/vasily/dev/magento/app/code/core/Mage/Core//Controller/Varien/Router/Admin.php)"
"Invalid layout update handle","Invalid layout update handle","redundant (200 - /home/vasily/dev/magento/app/code/core/Mage/Core//Model/Layout/Update.php)"
"Layout update handle not found: %s","Layout update handle not found: %s",missing
"Package layout file (main.xml) could not be read.","Package layout file (main.xml) could not be read.","redundant (250 - /home/vasily/dev/magento/app/code/core/Mage/Core//Model/Layout/Update.php)"
"Please enter 6 or more characters.","Please enter 6 or more characters.","redundant (54 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please enter a number greater than 0 in this field.","Please enter a number greater than 0 in this field.","redundant (74 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please enter a valid $ amount. For example $100.00.","Please enter a valid $ amount. For example $100.00.","redundant (67 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please enter a valid credit card number.","Please enter a valid credit card number.","redundant (75 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please enter a valid date.","Please enter a valid date.","redundant (51 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please enter a valid email address. For example johndoe@domain.com.","Please enter a valid email address. For example johndoe@domain.com.","redundant (53 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please enter a valid number in this field.","Please enter a valid number in this field.","redundant (70 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","redundant (50 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please enter a valid social security number. For example 123-45-6789.","Please enter a valid social security number. For example 123-45-6789.","redundant (60 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Please enter a valid URL. For example http://www.example.com or www.example.com","redundant (58 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please enter a valid URL. http:// is required","Please enter a valid URL. http:// is required","redundant (56 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please enter a valid zip code.","Please enter a valid zip code.","redundant (63 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Please enter a valid zip code. For example 90602 or 90602-1234.","redundant (62 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please enter valid password.","Please enter valid password.","redundant (72 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please make sure your passwords match.","Please make sure your passwords match.","redundant (55 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please select an option.","Please select an option.","redundant (38 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please select one of the above options.","Please select one of the above options.","redundant (68 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please select one of the options.","Please select one of the options.","redundant (69 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please select State/Province.","Please select State/Province.","redundant (71 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please use in this field only ""a-z,0-9,_"".","Please use in this field only ""a-z,0-9,_"".","redundant (44 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please use letters only (a-z) in this field.","Please use letters only (a-z) in this field.","redundant (43 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","redundant (42 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","redundant (46 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","redundant (48 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","redundant (65 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"Please wait, loading...","Please wait, loading...","redundant (76 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"This is a required field.","This is a required field.","redundant (39 - /home/vasily/dev/magento/app/code/core/Mage/Core//Helper/Js.php)"
"You need init translate area","You need init translate area",missing
"%s already exist","%s already exist","duplicate (400-/home/vasily/dev/magento/app/code/core/Mage/Core//Model/Mysql4/Abstract.php, 400-/home/vasily/dev/magento/app/code/core/Mage/Core//Model/Mysql4/Abstract.php)"
