"Please enter 6 or more characters.","Please enter 6 or more characters.",missing
"Please enter a number greater than 0 in this field.","Please enter a number greater than 0 in this field.",missing
"Please enter a valid $ amount. For example $100.00.","Please enter a valid $ amount. For example $100.00.",missing
"Please enter a valid credit card number.","Please enter a valid credit card number.",missing
"Please enter a valid date.","Please enter a valid date.",missing
"Please enter a valid email address. For example johndoe@domain.com.","Please enter a valid email address. For example johndoe@domain.com.",missing
"Please enter a valid number in this field.","Please enter a valid number in this field.",missing
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.",missing
"Please enter a valid social security number. For example 123-45-6789.","Please enter a valid social security number. For example 123-45-6789.",missing
"Please enter a valid URL. For example http://www.example.com or www.example.com","Please enter a valid URL. For example http://www.example.com or www.example.com",missing
"Please enter a valid URL. http:// is required","Please enter a valid URL. http:// is required",missing
"Please enter a valid zip code.","Please enter a valid zip code.",missing
"Please enter a valid zip code. For example 90602 or 90602-1234.","Please enter a valid zip code. For example 90602 or 90602-1234.",missing
"Please enter valid password.","Please enter valid password.",missing
"Please make sure your passwords match.","Please make sure your passwords match.",missing
"Please select an option.","Please select an option.",missing
"Please select one of the above options.","Please select one of the above options.",missing
"Please select one of the options.","Please select one of the options.",missing
"Please select State/Province.","Please select State/Province.",missing
"Please use in this field only a-z",0-9,missing
"Please use letters only (a-z) in this field.","Please use letters only (a-z) in this field.",missing
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.",missing
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.",missing
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.",missing
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.",missing
"Please wait, loading...","Please wait, loading...",missing
"This is a required field.","This is a required field.",missing
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","This is a demo store. Any orders placed through this store will not be honored or fulfilled.","duplicate (54-/home/vasily/dev/magento/app/design/frontend/default/default/template/page//2columns-right.phtml, 55-/home/vasily/dev/magento/app/design/frontend/default/default/template/page//1column.phtml, 54-/home/vasily/dev/magento/app/design/frontend/default/default/template/page//3columns.phtml, 53-/home/vasily/dev/magento/app/design/frontend/default/default/template/page//dashboard.phtml, 54-/home/vasily/dev/magento/app/design/frontend/default/default/template/page//2columns-left.phtml)"
"Welcome to the Magento Demo Store!","Welcome to the Magento Demo Store!","duplicate (71-/home/vasily/dev/magento/app/code/core/Mage/Page//Block/Html/Header.php, 71-/home/vasily/dev/magento/app/code/core/Mage/Page//Block/Html/Header.php)"
"Welcome, %s!","Welcome, %s!","duplicate (68-/home/vasily/dev/magento/app/code/core/Mage/Page//Block/Html/Header.php, 68-/home/vasily/dev/magento/app/code/core/Mage/Page//Block/Html/Header.php)"
